GENERALIZED BORN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,ESCF,G gas,G solv,TOTAL
55,-2095.082,-19087.458,-3276.4952,79.72729344,105.4141,-21182.54,-3196.76790656,-24273.8938066
56,-2052.3866,-18960.2142,-3357.116,81.07026768,96.8032,-21012.6008,-3276.04573232,-24191.8433323
57,-2040.43,-19033.1419,-3278.327,81.16762824,80.725,-21073.5719,-3197.15937176,-24190.0062718
58,-2088.508,-18925.6095,-3346.9084,81.13249296,105.9224,-21014.1175,-3265.77590704,-24173.971007
59,-2108.6292,-18968.0777,-3363.7621,81.0917712,101.7473,-21076.7069,-3282.6703288,-24257.6299288
60,-2104.8536,-18902.388,-3402.1599,81.67031784,106.9382,-21007.2416,-3320.48958216,-24220.7929822
61,-2093.0317,-18972.3254,-3321.8965,79.91882568,93.966,-21065.3571,-3241.97767432,-24213.3687743
62,-2044.7733,-18936.9367,-3396.2268,81.84163392,96.7492,-20981.71,-3314.38516608,-24199.3459661
63,-2053.2151,-18896.3027,-3390.1851,82.28125584,84.783,-20949.5178,-3307.90384416,-24172.6386442
64,-2058.5279,-18874.0947,-3404.1183,82.83370536,96.238,-20932.6226,-3321.28459464,-24157.6691946
65,-2029.9015,-18868.963,-3380.1617,83.59299576,102.2079,-20898.8645,-3296.56870424,-24093.2253042
66,-2048.3242,-18854.2381,-3415.5724,84.51944712,105.9145,-20902.5623,-3331.05295288,-24127.7007529
67,-2081.2168,-18816.6529,-3439.7137,83.776968,103.8256,-20897.8697,-3355.936732,-24149.980832
68,-2075.4051,-18810.6217,-3434.4525,82.93331376,92.9403,-20886.0268,-3351.51918624,-24144.6056862
69,-2044.3867,-18809.3298,-3498.6075,85.2301044,84.336,-20853.7165,-3413.3773956,-24182.7578956
70,-2064.0532,-18732.6623,-3503.1013,84.25215936,110.8028,-20796.7155,-3418.84914064,-24104.7618406
71,-2056.918,-18751.1431,-3510.8345,85.09463064,98.7731,-20808.0611,-3425.73986936,-24135.0278694
72,-2065.6242,-18886.9768,-3442.8117,83.68479576,87.1897,-20952.601,-3359.12690424,-24224.5382042
73,-2062.6571,-18798.2439,-3448.605,84.3594084,93.0456,-20860.901,-3364.2455916,-24132.1009916
74,-2080.7462,-18812.8135,-3490.4118,84.52169352,104.2635,-20893.5597,-3405.89010648,-24195.1863065
75,-2052.9636,-18899.7326,-3426.2242,83.99532816,88.6465,-20952.6962,-3342.22887184,-24206.2785718
76,-2064.1396,-18858.4596,-3411.8238,82.93679064,92.7121,-20922.5992,-3328.88700936,-24158.7741094
77,-2075.1452,-18866.0013,-3456.4579,82.73924496,94.1789,-20941.1465,-3373.71865504,-24220.686255
78,-2065.7329,-18921.1142,-3460.4771,83.8303416,88.8007,-20986.8471,-3376.6467584,-24274.6931584
79,-2052.322,-18857.1139,-3486.0035,83.80624032,90.6798,-20909.4359,-3402.19725968,-24220.9533597
80,-2056.5674,-18860.1344,-3419.386,83.15958024,97.2023,-20916.7018,-3336.22641976,-24155.7259198
81,-2082.9164,-18825.1977,-3471.5871,82.20213792,87.5887,-20908.1141,-3389.38496208,-24209.9103621
82,-2058.7647,-18932.371,-3404.0769,83.742156,86.4362,-20991.1357,-3320.334744,-24225.034244
83,-2076.9753,-18960.0689,-3379.4565,82.79145576,95.7583,-21037.0442,-3296.66504424,-24237.9509442
84,-2025.5507,-18954.3717,-3419.606,83.85145344,89.1041,-20979.9224,-3335.75454656,-24226.5728466
85,-2062.2471,-18896.9878,-3394.1359,84.8981988,94.5085,-20959.2349,-3309.2377012,-24173.9641012
86,-2044.6318,-18870.3867,-3401.3193,84.26617128,94.7981,-20915.0185,-3317.05312872,-24137.2735287
87,-2031.9862,-18857.5923,-3432.1904,86.25738456,96.1288,-20889.5785,-3345.93301544,-24139.3827154
88,-2049.3937,-18872.0856,-3402.535,83.45101968,98.9495,-20921.4793,-3319.08398032,-24141.6137803
89,-2040.8068,-18918.9217,-3416.6114,84.43945872,90.1201,-20959.7285,-3332.17194128,-24201.7803413
90,-2055.094,-18839.3998,-3452.5121,83.21101776,96.5358,-20894.4938,-3369.30108224,-24167.2590822
91,-2082.6458,-18843.8781,-3471.157,81.84417768,91.0815,-20926.5239,-3389.31282232,-24224.7552223
92,-2076.9064,-18798.8405,-3467.1001,82.7585208,79.0433,-20875.7469,-3384.3415792,-24181.0451792
93,-2024.695,-19016.6244,-3361.9633,83.93670648,85.586,-21041.3194,-3278.02659352,-24233.7599935
94,-2074.0344,-18962.4895,-3384.8755,82.35403056,77.2412,-21036.5239,-3302.52146944,-24261.8041694
95,-2053.8265,-18969.6812,-3400.1448,81.96099624,92.496,-21023.5077,-3318.18380376,-24249.1955038
96,-2083.7598,-18801.9695,-3521.5526,80.92625832,89.0054,-20885.7293,-3440.62634168,-24237.3502417
97,-2071.6276,-18812.3966,-3499.9113,81.0386568,101.1914,-20884.0242,-3418.8726432,-24201.7054432
98,-2062.2582,-18844.2086,-3519.5695,83.17293912,89.0669,-20906.4668,-3436.39656088,-24253.7964609
99,-2057.7352,-18894.3429,-3477.13,84.61342152,79.6642,-20952.0781,-3392.51657848,-24264.9304785
100,-2058.9604,-18803.6058,-3537.5391,84.2771772,90.0192,-20862.5662,-3453.2619228,-24225.8089228
101,-2052.4935,-18812.4154,-3467.9081,84.7110456,94.5087,-20864.9089,-3383.1970544,-24153.5972544
102,-2064.4392,-18902.1855,-3504.3499,83.40272136,104.6606,-20966.6247,-3420.94717864,-24282.9112786
103,-2057.538,-18890.8903,-3498.1701,82.71504216,90.0502,-20948.4283,-3415.45505784,-24273.8331578
104,-2066.7969,-18907.3908,-3470.49,82.49127336,103.3404,-20974.1877,-3387.99872664,-24258.8460266
105,-2068.5364,-18833.9801,-3498.2648,84.73724928,96.0588,-20902.5165,-3413.52755072,-24219.9852507
106,-2055.6993,-19025.2664,-3413.7079,84.10405248,103.944,-21080.9657,-3329.60384752,-24306.6255475
107,-2060.6236,-18955.9008,-3450.8656,83.87667504,79.1164,-21016.5244,-3366.98892496,-24304.396925
108,-2061.9664,-18960.2383,-3433.0694,83.52880704,90.9966,-21022.2047,-3349.54059296,-24280.748693
109,-2055.7252,-18996.3239,-3460.8738,84.27677256,80.4873,-21052.0491,-3376.59702744,-24348.1588274
110,-2051.4769,-18867.7035,-3502.152,83.62586232,85.652,-20919.1804,-3418.52613768,-24252.0545377
111,-2073.144,-18890.6231,-3445.9141,84.0291444,97.5232,-20963.7671,-3361.8849556,-24228.1288556
112,-2051.4317,-18913.9943,-3486.6405,84.46405608,88.0667,-20965.426,-3402.17644392,-24279.5357439
113,-2039.9452,-18932.2087,-3469.9004,84.20940576,93.4137,-20972.1539,-3385.69099424,-24264.4311942
114,-2056.6614,-18931.7717,-3476.2914,85.05236088,90.1464,-20988.4331,-3391.23903912,-24289.5257391
115,-2031.6681,-18945.1773,-3442.4705,83.24659152,99.5701,-20976.8454,-3359.22390848,-24236.4992085
116,-2075.7429,-18861.3129,-3506.2933,84.25751904,89.4703,-20937.0558,-3422.03578096,-24269.621281
117,-2071.7443,-18818.6692,-3534.5548,84.26979648,89.5006,-20890.4135,-3450.28500352,-24251.1979035
118,-2023.8634,-18888.4351,-3546.1772,86.17080528,92.094,-20912.2985,-3460.00639472,-24280.2108947
119,-2064.3535,-18791.1582,-3562.008,84.67996824,83.2221,-20855.5117,-3477.32803176,-24249.6176318
120,-2085.0314,-18707.6839,-3569.9818,83.29404744,87.6034,-20792.7153,-3486.68775256,-24191.7996526
121,-2066.1973,-18873.3119,-3544.0674,82.60177176,91.8111,-20939.5092,-3461.46562824,-24309.1637282
122,-2078.2269,-18897.4124,-3547.3821,83.58779448,95.2829,-20975.6393,-3463.79430552,-24344.1507055
123,-2067.6367,-18840.3802,-3535.8482,82.98205632,96.1699,-20908.0169,-3452.86614368,-24264.7131437
124,-2039.7701,-18885.6,-3526.9615,85.43732112,94.1484,-20925.3701,-3441.52417888,-24272.7458789
125,-2062.3798,-18881.7061,-3527.7313,83.82614256,87.0591,-20944.0859,-3443.90515744,-24300.9319574
126,-2069.3734,-18855.9915,-3485.2538,82.8390996,94.9885,-20925.3649,-3402.4147004,-24232.7911004
127,-2099.5027,-18881.3989,-3533.8378,82.2365352,85.8217,-20980.9016,-3451.6012648,-24346.6811648
128,-2066.562,-18965.1501,-3448.1454,82.83115224,83.1682,-21031.7121,-3365.31424776,-24313.8581478
129,-2074.3078,-18944.356,-3464.4422,82.54999944,83.0002,-21018.6638,-3381.89220056,-24317.5558006
130,-2077.7388,-18923.0031,-3459.3773,82.87228152,92.8341,-21000.7419,-3376.50501848,-24284.4128185
131,-2067.6244,-18939.4213,-3483.5708,82.71968112,107.9696,-21007.0457,-3400.85111888,-24299.9272189
132,-2062.5705,-18876.3119,-3473.036,84.50845776,87.6912,-20938.8824,-3388.52754224,-24239.7187422
133,-2077.6471,-19021.6921,-3432.067,81.48520368,82.8469,-21099.3392,-3350.58179632,-24367.0740963
134,-2094.5085,-19004.3239,-3473.4052,81.1041336,93.445,-21098.8324,-3392.3010664,-24397.6884664
135,-2091.2498,-18846.0315,-3530.7372,81.8567244,89.2602,-20937.2813,-3448.8804756,-24296.9015756
136,-2055.655,-18844.2075,-3535.3307,81.60262632,87.7875,-20899.8625,-3453.72807368,-24265.8030737
137,-2077.7548,-18888.5552,-3532.4179,82.60883496,110.2052,-20966.31,-3449.80906504,-24305.913865
138,-2083.4253,-18905.2265,-3511.6043,83.15395704,88.9849,-20988.6518,-3428.45034296,-24328.117243
139,-2048.4485,-18871.4116,-3509.0457,84.34717992,98.6101,-20919.8601,-3424.69852008,-24245.9485201
140,-2059.1039,-18888.9983,-3547.367,82.74293784,95.9039,-20948.1022,-3464.62406216,-24316.8223622
141,-2081.6696,-18832.909,-3534.5564,83.15151408,112.3859,-20914.5786,-3451.40488592,-24253.5975859
142,-2056.9947,-18868.3856,-3536.8699,83.35412424,88.5128,-20925.3803,-3453.51577576,-24290.3832758
143,-2093.6561,-18831.0128,-3561.1857,83.85637176,99.91,-20924.6689,-3477.32932824,-24302.0882282
144,-2071.3569,-18911.4117,-3497.1847,83.57851008,93.9225,-20982.7686,-3413.60618992,-24302.4522899
145,-2074.8039,-18938.4445,-3481.38,83.57271264,96.2054,-21013.2484,-3397.80728736,-24314.8502874
146,-2065.3078,-18862.9542,-3523.8623,84.20152824,104.2157,-20928.262,-3439.66077176,-24263.7070718
147,-2051.7484,-18947.2991,-3454.2883,83.05087392,100.8205,-20999.0475,-3371.23742608,-24269.4644261
148,-2064.4279,-18944.6411,-3453.3681,82.06868952,98.7312,-21009.069,-3371.29941048,-24281.6372105
149,-2059.558,-18934.1244,-3491.7232,84.11665968,103.8403,-20993.6824,-3407.60654032,-24297.4486403
150,-2098.0403,-18949.031,-3439.5155,81.71157456,89.3207,-21047.0713,-3357.80392544,-24315.5545254
151,-2053.6915,-18888.9022,-3492.8671,82.1469528,91.7527,-20942.5937,-3410.7201472,-24261.5611472
152,-2054.432,-18913.6027,-3437.317,83.32761672,86.0349,-20968.0347,-3353.98938328,-24235.9891833
153,-2064.1445,-18987.9881,-3457.714,82.73339496,100.9431,-21052.1326,-3374.98060504,-24326.170105
154,-2066.685,-18930.7947,-3498.2275,83.85044472,86.5031,-20997.4797,-3414.37705528,-24325.3536553
155,-2038.5302,-18930.2861,-3522.4698,82.45878984,89.7047,-20968.8163,-3440.01101016,-24319.1226102
156,-2083.8046,-18829.7616,-3544.2882,83.8512036,95.3223,-20913.5662,-3460.4369964,-24278.6808964
157,-2067.0416,-18867.2189,-3490.6999,84.02386248,83.7962,-20934.2605,-3406.67603752,-24257.1403375
158,-2042.0921,-18858.312,-3539.6987,84.57164568,81.4297,-20900.4041,-3455.12705432,-24274.1014543
159,-2053.1508,-18916.13,-3487.6378,84.54186504,98.1304,-20969.2808,-3403.09593496,-24274.246335
160,-2065.0978,-18974.6418,-3426.1682,83.15836704,105.7652,-21039.7396,-3343.00983296,-24276.984233
161,-2075.795,-18965.7123,-3455.9855,82.59326352,90.958,-21041.5073,-3373.39223648,-24323.9415365
162,-2031.5329,-18995.2445,-3426.4181,83.49785856,80.7016,-21026.7774,-3342.92024144,-24288.9960414
163,-2085.1955,-18939.1737,-3466.4587,82.68560064,88.0549,-21024.3692,-3383.77309936,-24320.0873994
164,-2079.2917,-18930.644,-3470.5103,83.42770608,97.0142,-21009.9357,-3387.08259392,-24300.0040939
165,-2043.392,-18877.5198,-3500.9055,84.08789928,87.4158,-20920.9118,-3416.81760072,-24250.3136007
166,-2063.3076,-19015.7569,-3431.3063,82.44872928,108.6764,-21079.0645,-3348.85757072,-24319.2456707
167,-2069.5523,-18963.0825,-3436.2913,84.20068512,104.2086,-21032.6348,-3352.09061488,-24280.5168149
168,-2050.4731,-18970.6722,-3440.589,83.74780296,104.1649,-21021.1453,-3356.84119704,-24273.821597
169,-2040.7848,-18986.6239,-3452.445,83.71674792,89.7754,-21027.4087,-3368.72825208,-24306.3615521
170,-2041.9322,-18943.9945,-3429.9881,84.19751784,114.8545,-20985.9267,-3345.79058216,-24216.8627822
171,-2046.1864,-18953.8652,-3486.1908,84.34392912,99.0674,-21000.0516,-3401.84687088,-24302.8310709
172,-2085.3392,-18889.0172,-3497.6963,83.18074392,83.3441,-20974.3564,-3414.51555608,-24305.5278561
173,-2075.5204,-18941.2349,-3494.0158,84.2734728,91.7872,-21016.7553,-3409.7423272,-24334.7104272
174,-2031.122,-18922.0094,-3509.179,86.51104632,106.1843,-20953.1314,-3422.66795368,-24269.6150537
175,-2059.4035,-18857.0818,-3524.9502,82.82210472,97.4443,-20916.4853,-3442.12809528,-24261.1690953
176,-2072.1556,-18926.578,-3444.7692,82.0526868,89.1259,-20998.7336,-3362.7165132,-24272.3242132
177,-2100.1436,-18922.2781,-3476.7491,81.98492832,97.0608,-21022.4217,-3394.76417168,-24320.1250717
178,-2079.6793,-18923.2096,-3502.7861,81.54387576,74.9317,-21002.8889,-3421.24222424,-24349.1994242
179,-2079.4143,-18843.1076,-3546.9734,83.49828552,83.6532,-20922.5219,-3463.47511448,-24302.3438145
180,-2093.0164,-18839.9241,-3525.081,83.66555952,96.6892,-20932.9405,-3441.41544048,-24277.6667405
181,-2064.0436,-18874.8972,-3518.8842,83.80455624,89.3173,-20938.9408,-3435.07964376,-24284.7031438
182,-2047.9024,-18939.2794,-3501.0457,83.8542312,83.0634,-20987.1818,-3417.1914688,-24321.3098688
183,-2059.5699,-19028.0933,-3413.4185,82.75804776,93.2558,-21087.6632,-3330.66045224,-24325.0678522
184,-2063.2908,-18985.917,-3452.2947,82.49694624,91.9989,-21049.2078,-3369.79775376,-24327.0066538
185,-2074.0792,-18965.776,-3445.3768,82.86164712,102.7779,-21039.8552,-3362.51515288,-24299.5924529
186,-2060.8283,-18919.7509,-3493.1047,82.98894168,101.9069,-20980.5792,-3410.11575832,-24288.7880583
187,-2073.5045,-18919.2431,-3456.4048,82.18314504,98.9921,-20992.7476,-3374.22165496,-24267.977155
188,-2056.3151,-19045.0801,-3361.6375,80.80806816,94.8674,-21101.3952,-3280.82943184,-24287.3572318
189,-2058.289,-19067.3849,-3358.8767,80.35574472,91.4093,-21125.6739,-3278.52095528,-24312.7855553
190,-2076.0102,-19086.1348,-3396.6835,82.30914432,92.3274,-21162.145,-3314.37435568,-24384.1919557
191,-2081.4702,-18974.437,-3437.4904,82.25990352,90.3757,-21055.9072,-3355.23049648,-24320.7619965
192,-2071.1009,-18986.9708,-3391.9689,81.47747016,86.7698,-21058.0717,-3310.49142984,-24281.7933298
193,-2084.9623,-19011.9558,-3378.5569,80.103042,90.6461,-21096.9181,-3298.453858,-24304.725858
194,-2072.5078,-19071.2949,-3386.1908,82.18387656,85.71,-21143.8027,-3304.00692344,-24362.0996234
195,-2047.6965,-19061.1835,-3370.9872,82.36599408,101.8306,-21108.88,-3288.62120592,-24295.6706059
196,-2091.2247,-18955.2994,-3428.8663,81.91541016,94.6299,-21046.5241,-3346.95088984,-24298.8450898
197,-2054.929,-18996.0069,-3391.9061,81.961056,121.5159,-21050.9359,-3309.945044,-24239.365044
198,-2090.4379,-18974.1953,-3409.8511,82.8884772,101.4857,-21064.6332,-3326.9626228,-24290.1101228
199,-2085.571,-18976.3331,-3429.662,83.73053304,86.5802,-21061.9041,-3345.93146696,-24321.255367
200,-2067.2624,-18996.0686,-3417.5155,81.67212,88.4685,-21063.331,-3335.84338,-24310.70588
201,-2065.2734,-19042.5109,-3360.3862,82.42498872,96.4246,-21107.7843,-3277.96121128,-24289.3209113
202,-2075.1377,-19107.0181,-3348.5982,82.33408152,96.2796,-21182.1558,-3266.26411848,-24352.1403185
203,-2074.7566,-19019.8124,-3384.6188,82.39694472,89.6282,-21094.569,-3302.22185528,-24307.1626553
204,-2049.6091,-19098.0237,-3331.4163,82.40220432,95.5292,-21147.6328,-3249.01409568,-24301.1176957
205,-2079.49,-19045.0302,-3385.0111,82.855476,91.0315,-21124.5202,-3302.155624,-24335.644324
206,-2068.4339,-19009.392,-3406.9708,82.91079576,96.4843,-21077.8259,-3324.06000424,-24305.4016042
207,-2060.1507,-19013.6645,-3436.5336,82.9448496,86.0834,-21073.8152,-3353.5887504,-24341.3205504
208,-2061.2607,-18959.3828,-3453.7483,83.46649104,100.3667,-21020.6435,-3370.28180896,-24290.558609
209,-2047.7722,-18984.2947,-3457.1673,84.63196224,88.0731,-21032.0669,-3372.53533776,-24316.5291378
210,-2069.6608,-18949.8233,-3494.4872,83.6377308,92.2919,-21019.4841,-3410.8494692,-24338.0416692
211,-2077.8275,-18934.4794,-3462.8983,81.50126688,98.5261,-21012.3069,-3381.39703312,-24295.1778331
212,-2072.6077,-18890.2796,-3505.674,85.27446936,92.8061,-20962.8873,-3420.39953064,-24290.4807306
213,-2066.9622,-19007.4483,-3471.0432,82.01329272,80.4044,-21074.4105,-3389.02990728,-24383.0360073
214,-2069.0265,-18963.9007,-3470.8285,84.78136872,85.5628,-21032.9272,-3386.04713128,-24333.4115313
215,-2065.9604,-18913.6547,-3488.0804,83.85234192,95.5891,-20979.6151,-3404.22805808,-24288.2540581
216,-2065.7304,-18880.9473,-3498.0498,83.43678168,86.2066,-20946.6777,-3414.61301832,-24275.0841183
217,-2048.9558,-18871.9484,-3500.5889,82.62394128,94.723,-20920.9042,-3417.96495872,-24244.1461587
218,-2054.4775,-18904.535,-3498.0539,83.31584904,92.125,-20959.0125,-3414.73805096,-24281.625551
219,-2096.3687,-18872.7329,-3514.2416,84.03337296,84.8704,-20969.1016,-3430.20822704,-24314.439427
220,-2070.211,-18865.1853,-3501.4814,81.35391024,87.2785,-20935.3963,-3420.12748976,-24268.2452898
221,-2090.7034,-18917.4291,-3503.492,82.88915328,93.1705,-21008.1325,-3420.60284672,-24335.5648467
222,-2086.3088,-18933.8537,-3453.8269,82.80399888,93.7691,-21020.1625,-3371.02290112,-24297.4163011
223,-2075.4313,-18887.9971,-3488.4081,82.23926184,94.7282,-20963.4284,-3406.16883816,-24274.8690382
224,-2073.338,-19060.6493,-3395.2549,82.71330048,94.1721,-21133.9873,-3312.54159952,-24352.3567995
225,-2090.5048,-18938.4496,-3459.0675,81.71234784,90.2083,-21028.9544,-3377.35515216,-24316.1012522
226,-2075.6164,-19004.7899,-3399.4662,82.82459664,92.2953,-21080.4063,-3316.64160336,-24304.7526034
227,-2093.1596,-18966.3119,-3420.9137,82.47536496,84.9847,-21059.4715,-3338.43833504,-24312.925135
228,-2027.9511,-18982.7572,-3463.9227,83.64613608,87.2256,-21010.7083,-3380.27656392,-24303.7592639
229,-2065.9013,-18976.7572,-3491.6483,83.7340236,88.0889,-21042.6585,-3407.9142764,-24362.4838764
230,-2036.6927,-18930.3817,-3450.7977,82.05090336,97.3383,-20967.0744,-3368.74679664,-24238.4828966
231,-2089.2136,-18878.3492,-3503.3142,84.90286296,101.1374,-20967.5628,-3418.41133704,-24284.836737
232,-2060.6119,-18929.6841,-3441.1672,83.1192732,93.0488,-20990.296,-3358.0479268,-24255.2951268
233,-2074.2721,-18894.2536,-3478.2514,84.71600928,87.0362,-20968.5257,-3393.53539072,-24275.0248907
234,-2063.6966,-19031.6602,-3416.8774,82.45240128,94.4789,-21095.3568,-3334.42499872,-24335.3028987
235,-2052.4027,-19002.0466,-3440.0772,83.18115288,90.0677,-21054.4493,-3356.89604712,-24321.2776471
236,-2061.5154,-19002.2901,-3416.1752,82.7003772,94.0989,-21063.8055,-3333.4748228,-24303.1814228
237,-2063.9426,-19021.039,-3415.3405,82.89051552,111.7299,-21084.9816,-3332.44998448,-24305.7016845
238,-2094.3123,-18956.3254,-3449.4017,82.62650952,89.2065,-21050.6377,-3366.77519048,-24328.2063905
239,-2058.5173,-18936.7393,-3468.3735,83.70105192,107.2605,-20995.2566,-3384.67244808,-24272.6685481
240,-2061.1451,-18965.5993,-3449.6716,83.09078784,103.3466,-21026.7444,-3366.58081216,-24289.9786122
241,-2088.7009,-18974.4851,-3473.3229,83.10568176,110.8346,-21063.186,-3390.21721824,-24342.5686182
242,-2061.4559,-18930.0754,-3486.2063,82.07827128,91.8846,-20991.5313,-3404.12802872,-24303.7747287
243,-2093.0453,-18925.7479,-3487.5069,81.39579408,105.9085,-21018.7932,-3406.11110592,-24318.9958059
